id,sample,state,locality,lat,long,sex,species
44685,P_melanocephalus_44685,South Dakota,4 miles southeast of Belvidere,43.79035232,-101.2163134,male,melanocephalus
44686,P_melanocephalus_44686,South Dakota,4 miles southeast of Belvidere,43.78955503,-101.2139186,male,melanocephalus
44687,P_melanocephalus_44687,South Dakota,4 miles southeast of Belvidere,43.78955503,-101.2139186,male,melanocephalus
44688,P_melanocephalus_44688,South Dakota,6 miles southeast of Stamford,43.79230798,-101.0204669,male,melanocephalus
44689,P_melanocephalus_44689,South Dakota,4 miles southeast of Stamford,43.85415863,-101.0256798,male,melanocephalus
44692,P_melanocephalus_44692,South Dakota,4 miles southeast of Stamford,43.85207037,-101.0235734,male,melanocephalus
44693,P_melanocephalus_44693,South Dakota,4 miels southwest of Oacoma,43.75444894,-99.50112336,male,melanocephalus
44694,P_melanocephalus_44694,South Dakota,4 miels southwest of Oacoma,43.72305946,-99.47074131,male,melanocephalus
44695,P_melanocephalus_44695,South Dakota,4 miels southwest of Oacoma,43.72571502,-99.47257385,male,melanocephalus
44696,P_hybrid_44696,South Dakota,4 miels southwest of Oacoma,43.72639504,-99.47387606,male,hybrid
44697,P_melanocephalus_44697,South Dakota,6 miles southeast of Stamford,43.78955503,-101.2139186,male,melanocephalus
44699,P_melanocephalus_44699,South Dakota,9 miles south of Oacoma,43.65264008,-99.46861608,male,melanocephalus
44700,P_melanocephalus_44700,South Dakota,20 miles west of Platte,43.41272319,-99.16507535,male,melanocephalus
44702,P_melanocephalus_44702,South Dakota,20 miles west of Platte,43.40923196,-99.16391546,male,melanocephalus
44703,P_hybrid_44703,South Dakota,20 miles west of Platte,43.37684068,-99.14481486,male,hybrid
44704,P_ludovicianus_44704,South Dakota,6 miles north of Bonesteel,43.1793135,-98.94130468,male,ludovicianus
44705,P_ludovicianus_44705,South Dakota,6 miles north of Bonesteel,43.1793135,-98.94130468,male,ludovicianus
44706,P_ludovicianus_44706,South Dakota,6 miles north of Bonesteel,43.17907998,-98.93724994,male,ludovicianus
44707,P_hybrid_44707,South Dakota,20 miles west of Pickstown,43.08797213,-98.76794505,male,hybrid
44708,P_hybrid_44708,South Dakota,20 miles west of Pickstown,43.0861339,-98.7686001,male,hybrid
44709,P_hybrid_44709,South Dakota,1 mile south of Pickstown,43.05214729,-98.53837981,male,hybrid
44710,P_ludovicianus_44710,South Dakota,1.5 miles west-northwest of Greenwood,42.96413337,-98.46748332,male,ludovicianus
44711,P_ludovicianus_44711,South Dakota,1.5 miles west-northwest of Greenwood,42.96252555,-98.46502449,male,ludovicianus
44712,P_hybrid_44712,South Dakota,1.5 miles west-northwest of Greenwood,42.9651744,-98.45587883,male,hybrid
44713,P_ludovicianus_44713,South Dakota,1.5 miles west-northwest of Greenwood,42.96586121,-98.45539327,male,ludovicianus
44714,P_ludovicianus_44714,South Dakota,1.5 miles west-northwest of Greenwood,42.95152464,-98.45596014,female,ludovicianus
44715,P_ludovicianus_44715,South Dakota,1.5 miles west-northwest of Greenwood,42.93722126,-98.43894093,female,ludovicianus
44716,P_ludovicianus_44716,South Dakota,1.5 miles west-northwest of Greenwood,42.93722126,-98.43894093,male,ludovicianus
44717,P_ludovicianus_44717,South Dakota,1.5 miles west-northwest of Greenwood,42.93604813,-98.43648185,female,ludovicianus
44718,P_ludovicianus_44718,South Dakota,1.5 miles west-northwest of Greenwood,42.93280466,-98.43352471,male,ludovicianus
44719,P_ludovicianus_44719,South Dakota,1.5 miles west-northwest of Greenwood,42.93295378,-98.43113453,male,ludovicianus
44720,P_ludovicianus_44720,South Dakota,1.5 miles west-northwest of Greenwood,42.9361653,-98.43784357,male,ludovicianus
44721,P_ludovicianus_44721,South Dakota,5 miles south of Vermillion,42.74104457,-96.95317836,male,ludovicianus
44722,P_ludovicianus_44722,South Dakota,5 miles south of Vermillion,42.74104457,-96.95317836,male,ludovicianus
44723,P_ludovicianus_44723,South Dakota,5 miles south of Vermillion,42.74104457,-96.95317836,male,ludovicianus
44726,P_ludovicianus_44726,South Dakota,5 miles south of Vermillion,42.74005333,-96.95494199,male,ludovicianus
44727,P_ludovicianus_44727,South Dakota,5 miles south of Vermillion,42.741579,-96.95389383,male,ludovicianus
44729,P_ludovicianus_44729,South Dakota,5 miles south of Vermillion,42.74206197,-96.95240772,male,ludovicianus
44730,P_ludovicianus_44730,South Dakota,5 miles south of Vermillion,42.74241518,-96.95320258,female,ludovicianus
44731,P_ludovicianus_44731,South Dakota,5 miles south of Vermillion,42.74241518,-96.95320258,male,ludovicianus
44732,P_ludovicianus_44732,South Dakota,5 miles south of Vermillion,42.74435911,-96.9522778,male,ludovicianus
44733,P_ludovicianus_44733,South Dakota,5 miles south of Vermillion,42.74384229,-96.95193591,male,ludovicianus
44734,P_ludovicianus_44734,South Dakota,12 miles east-southeast of Vermillion,42.70659462,-96.801927,male,ludovicianus
44737,P_ludovicianus_44737,South Dakota,12 miles east-southeast of Vermillion,42.70697189,-96.80296359,male,ludovicianus
44738,P_ludovicianus_44738,South Dakota,12 miles east-southeast of Vermillion,42.7071412,-96.80413496,male,ludovicianus
44739,P_ludovicianus_44739,South Dakota,12 miles east-southeast of Vermillion,42.70778627,-96.80507029,male,ludovicianus
44740,P_ludovicianus_44740,South Dakota,"Newton Hills, 3 miles sout of Canton",43.2235438,-96.56703145,male,ludovicianus
